application_for,open_date_year,response_rate_met,ballots_in_favour,ballots_opposed,ballots_returned,ballots_distributed,poll_result
Commercial Boulevard Parking,2019,Yes,14,4,18,46,In Favour
Traffic Calming,2019,No,35,7,42,138,Response Rate Not Met
Traffic Calming,2019,No,53,13,66,204,Response Rate Not Met
Traffic Calming,2019,No,47,32,79,391,Response Rate Not Met
Permit Parking,2019,Yes,27,11,38,78,In Favour
Boulevard Cafe,2019,Yes,21,2,23,70,In Favour
Front Yard Parking,2019,Yes,11,1,12,20,In Favour
Front Yard Parking,2019,Yes,15,0,15,30,In Favour
Boulevard Cafe,2019,Yes,14,18,32,67,Opposed
Boulevard Cafe,2019,Yes,2,17,19,61,Opposed
Permit Parking,2019,Yes,7,4,11,48,In Favour
Front Yard Parking,2019,Yes,40,0,40,84,In Favour
Permit Parking,2019,Yes,7,0,7,22,In Favour
Permit Parking,2019,Yes,30,5,35,100,In Favour
Permit Parking,2019,Yes,0,0,0,2,Opposed
Permit Parking,2019,Yes,30,16,46,150,In Favour
Permit Parking,2019,Yes,13,8,21,45,In Favour
Permit Parking,2019,Yes,11,1,12,46,In Favour
Permit Parking,2019,Yes,17,10,27,59,In Favour
Permit Parking,2019,No,30,20,50,281,Response Rate Not Met
Boulevard Cafe,2019,Yes,24,2,26,47,In Favour
Boulevard Cafe,2019,Yes,8,21,29,126,Opposed
Permit Parking,2019,No,4,0,4,41,Response Rate Not Met
Permit Parking,2019,Yes,11,63,74,177,Opposed
Traffic Calming,2019,No,125,27,152,651,Response Rate Not Met
Front Yard Parking,2019,Yes,36,0,36,127,In Favour
Permit Parking,2019,Yes,18,13,31,68,In Favour
Boulevard Cafe,2019,Yes,7,11,18,27,Opposed
Front Yard Parking,2019,Yes,43,0,43,95,In Favour
Traffic Calming Safety Zone,2020,No,42,57,99,482,Response Rate Not Met
Traffic Calming,2019,Yes,64,14,78,138,In Favour
Traffic Calming,2019,No,37,7,44,235,Response Rate Not Met
Front Yard Parking,2019,Yes,54,3,57,99,In Favour
Boulevard Cafe,2019,Yes,8,14,22,95,Opposed
Traffic Calming,2019,No,46,6,52,141,Response Rate Not Met
Traffic Calming,2019,Yes,12,22,34,86,Opposed
Traffic Calming,2019,Yes,58,35,93,188,Opposed
Traffic Calming,2019,Yes,22,26,48,76,Opposed
Traffic Calming,2019,Yes,32,5,37,72,In Favour
Traffic Calming,2019,Yes,42,38,80,148,Opposed
Front Yard Parking,2019,Yes,13,0,13,35,In Favour
Front Yard Parking,2019,Yes,53,2,55,127,In Favour
Front Yard Parking,2019,Yes,33,0,33,62,In Favour
Boulevard Cafe,2019,Yes,13,1,14,60,In Favour
Traffic Calming,2019,Yes,51,5,56,115,In Favour
Traffic Calming,2019,Yes,54,14,68,132,In Favour
Front Yard Parking,2019,Yes,68,0,68,133,In Favour
Front Yard Parking,2019,Yes,18,7,25,57,In Favour
Permit Parking,2019,Yes,1,10,11,26,Opposed
Permit Parking,2019,Yes,37,12,49,96,In Favour
Traffic Calming,2019,No,24,0,24,74,Response Rate Not Met
Front Yard Parking,2019,Yes,34,6,40,106,In Favour
Front Yard Parking,2019,Yes,25,19,44,97,In Favour
Permit Parking,2019,Yes,24,19,43,127,In Favour
Appeal - Front Yard Parking,2020,Yes,19,4,23,51,In Favour
Permit Parking,2019,Yes,43,44,87,150,Opposed
Front Yard Parking,2020,Yes,40,4,44,78,In Favour
Front Yard Parking,2020,Yes,41,1,42,77,In Favour
Front Yard Parking,2020,Yes,14,1,15,85,In Favour
Front Yard Parking,2020,Yes,7,9,16,23,Opposed
Front Yard Parking,2020,Yes,7,9,16,23,Opposed
Business Improvement Area,2020,Yes,75,7,82,175,In Favour
Traffic Calming,2020,Yes,33,6,39,80,In Favour
Front Yard Parking,2020,Yes,32,1,33,56,In Favour
Front Yard Parking,2020,Yes,49,2,51,106,In Favour
Permit Parking,2020,Yes,42,32,74,141,In Favour
Traffic Calming Safety Zone,2020,Yes,12,5,17,43,In Favour
Permit Parking,2020,Yes,0,13,13,36,Opposed
Front Yard Parking,2020,Yes,40,5,45,107,In Favour
Permit Parking,2020,Yes,21,9,30,130,In Favour
Traffic Calming Safety Zone,2020,Yes,80,33,113,376,In Favour
Traffic Calming,2020,Yes,32,6,38,72,In Favour
Front Yard Parking,2020,Yes,35,4,39,113,In Favour
Front Yard Parking,2020,Yes,29,4,33,96,In Favour
Front Yard Parking,2020,Yes,27,8,35,41,In Favour
Front Yard Parking,2020,Yes,33,1,34,99,In Favour
Permit Parking,2020,Yes,2,16,18,52,Opposed
Permit Parking,2020,Yes,32,31,63,114,Opposed
Front Yard Parking,2020,Yes,25,11,36,91,In Favour
Front Yard Parking,2020,Yes,27,12,39,104,In Favour
Front Yard Parking,2020,Yes,7,0,7,30,In Favour
Permit Parking Removal,2020,Yes,14,33,47,166,Opposed
Permit Parking Removal,2020,Yes,10,12,22,72,Opposed
Permit Parking Removal,2020,Yes,11,27,38,65,Opposed
Permit Parking Removal,2020,Yes,14,7,21,63,In Favour
Permit Parking Removal,2020,No,11,0,11,105,Response Rate Not Met
Permit Parking Removal,2020,Yes,7,15,22,41,Opposed
Front Yard Parking,2020,Yes,41,10,51,97,In Favour
Permit Parking Removal,2020,Yes,165,40,205,539,In Favour
Permit Parking Removal,2021,Yes,12,1,13,72,In Favour
Permit Parking Removal,2021,Yes,7,1,8,31,In Favour
Permit Parking Removal,2021,No,33,15,48,458,Response Rate Not Met
Permit Parking Removal,2021,Yes,65,22,87,216,In Favour
Permit Parking Removal,2020,Yes,8,6,14,53,Opposed
Permit Parking Removal,2020,Yes,10,5,15,48,In Favour
Permit Parking Removal,2020,Yes,42,33,75,192,Opposed
Permit Parking Removal,2020,Yes,20,22,42,105,Opposed
Permit Parking Removal,2020,Yes,20,16,36,83,Opposed
Permit Parking Removal,2021,Yes,16,6,22,70,In Favour
Permit Parking Removal,2021,Yes,32,8,40,71,In Favour
Permit Parking Removal,2021,Yes,5,9,14,32,Opposed
Permit Parking Removal,2021,Yes,6,11,17,26,Opposed
Permit Parking Removal,2021,Yes,57,27,84,187,In Favour
Permit Parking Removal,2021,No,8,1,9,53,Response Rate Not Met
Permit Parking Removal,2021,Yes,15,6,21,61,In Favour
Permit Parking Removal,2021,Yes,57,20,77,192,In Favour
Permit Parking Removal,2021,Yes,2,1,3,5,Opposed
Permit Parking Removal,2021,Yes,55,23,78,192,In Favour
Permit Parking,2020,No,77,44,121,577,Response Rate Not Met
Traffic Calming,2020,No,47,49,96,220,Response Rate Not Met
Front Yard Parking,2020,Yes,58,6,64,106,In Favour
Front Yard Parking,2020,Yes,42,2,44,77,In Favour
Front Yard Parking,2020,Yes,27,25,52,106,Opposed
Traffic Calming,2020,No,150,9,159,679,Response Rate Not Met
Traffic Calming,2020,No,40,6,46,135,Response Rate Not Met
Traffic Calming,2020,No,30,5,35,107,Response Rate Not Met
Traffic Calming,2020,Yes,28,2,30,44,In Favour
Traffic Calming,2020,Yes,95,23,118,186,In Favour
Business Improvement Area,2020,No,0,0,0,999,Response Rate Not Met
Proposed Business Improvement Area,2020,No,1,0,1,245,Response Rate Not Met
Proposed Business Improvement Area,2020,No,0,0,0,23,Response Rate Not Met
Front Yard Parking,2020,Yes,53,0,53,104,In Favour
Front Yard Parking,2020,Yes,28,3,31,91,In Favour
Permit Parking Removal,2020,Yes,24,68,92,170,Opposed
Permit Parking Removal,2020,Yes,10,35,45,75,Opposed
Permit Parking Removal,2020,Yes,8,34,42,65,Opposed
Permit Parking Removal,2020,Yes,9,54,63,106,Opposed
Permit Parking Removal,2020,Yes,1,16,17,42,Opposed
Permit Parking,2020,Yes,5,3,8,15,In Favour
Permit Parking,2020,Yes,13,0,13,32,In Favour
Traffic Calming,2020,No,8,12,20,61,Response Rate Not Met
Traffic Calming,2020,No,85,7,92,258,Response Rate Not Met
Front Yard Parking,2020,Yes,64,0,64,103,In Favour
Front Yard Parking,2020,Yes,50,5,55,129,In Favour
Traffic Calming,2020,Yes,29,12,41,99,Opposed
Traffic Calming Safety Zone,2020,Yes,135,42,177,645,In Favour
Traffic Calming,2020,No,30,5,35,83,Response Rate Not Met
Permit Parking,2020,Yes,25,9,34,113,In Favour
Traffic Calming,2020,No,29,7,36,179,Response Rate Not Met
Front Yard Parking,2020,Yes,35,0,35,62,In Favour
Permit Parking,2020,Yes,8,22,30,45,Opposed
Front Yard Parking,2020,Yes,63,1,64,104,In Favour
Permit Parking,2020,Yes,19,12,31,73,In Favour
Front Yard Parking,2020,Yes,30,0,30,50,In Favour
Front Yard Parking,2020,Yes,60,2,62,88,In Favour
Permit Parking,2021,Yes,1,2,3,11,Opposed
Front Yard Parking,2021,Yes,45,10,55,96,In Favour
Front Yard Parking,2021,Yes,20,1,21,72,In Favour
Front Yard Parking,2021,Yes,37,5,42,98,In Favour
Front Yard Parking,2021,Yes,45,3,48,193,In Favour
Permit Parking,2021,Yes,61,37,98,301,In Favour
Traffic Calming – Island,2021,No,38,33,71,173,Response Rate Not Met
Traffic Calming – Island,2021,Yes,22,9,31,58,In Favour
Front Yard Parking,2021,Yes,30,0,30,88,In Favour
Permit Parking Removal,2021,Yes,18,9,27,70,In Favour
Permit Parking,2021,Yes,0,4,4,33,Opposed
Traffic Calming,2021,No,124,64,188,584,Response Rate Not Met
Commercial Boulevard Parking,2021,Yes,6,10,16,50,Opposed
Front Yard Parking,2021,Yes,38,5,43,109,In Favour
Front Yard Parking,2021,Yes,21,1,22,46,In Favour
Front Yard Parking,2021,Yes,42,11,53,97,In Favour
Front Yard Parking,2021,Yes,23,6,29,49,In Favour
Permit Parking,2021,Yes,80,39,119,400,In Favour
Front Yard Parking,2021,Yes,33,6,39,88,In Favour
Front Yard Parking,2021,Yes,32,0,32,57,In Favour
Front Yard Parking,2021,Yes,30,13,43,102,In Favour
Traffic Calming,2021,No,37,5,42,86,Response Rate Not Met
Front Yard Parking,2021,Yes,54,4,58,103,In Favour
Front Yard Parking,2021,Yes,18,4,22,105,In Favour
Permit Parking,2021,Yes,25,45,70,195,Opposed
Front Yard Parking,2021,Yes,63,2,65,155,In Favour
Traffic Calming,2021,Yes,110,8,118,240,In Favour
Front Yard Parking,2021,Yes,54,2,56,110,In Favour
Front Yard Parking,2021,No,18,2,20,85,Response Rate Not Met
Front Yard Parking,2021,No,9,4,13,62,Response Rate Not Met
Front Yard Parking,2021,Yes,35,4,39,70,In Favour
Permit Parking,2021,Yes,13,18,31,94,Opposed
Commercial Boulevard Parking,2021,Yes,2,12,14,37,Opposed
Front Yard Parking,2021,No,5,2,7,45,Response Rate Not Met
Front Yard Parking,2021,Yes,32,0,32,91,In Favour
Front Yard Parking,2021,Yes,31,1,32,76,In Favour
Front Yard Parking,2021,Yes,17,0,17,18,In Favour
Front Yard Parking,2021,Yes,8,0,8,10,In Favour
Proposed Business Improvement Area,2021,No,25,11,36,258,Response Rate Not Met
Permit Parking Removal,2021,Yes,20,42,62,81,Opposed
Front Yard Parking,2021,Yes,36,3,39,75,In Favour
Front Yard Parking,2021,Yes,37,0,37,101,In Favour
Front Yard Parking,2021,Yes,7,0,7,31,In Favour
Front Yard Parking,2021,Yes,35,0,35,113,In Favour
Front Yard Parking,2021,Yes,52,7,59,108,In Favour
Front Yard Parking,2021,Yes,54,4,58,114,In Favour
Front Yard Parking,2021,Yes,71,0,71,110,In Favour
Permit Parking,2021,Yes,40,3,43,120,In Favour
Front Yard Parking,2021,Yes,9,0,9,20,In Favour
Front Yard Parking,2021,Yes,33,0,33,68,In Favour
Front Yard Parking,2021,Yes,22,0,22,99,In Favour
Front Yard Parking,2021,Yes,14,0,14,35,In Favour
Front Yard Parking,2021,Yes,41,2,43,92,In Favour
Front Yard Parking,2021,Yes,22,9,31,134,In Favour
Front Yard Parking,2021,Yes,50,4,54,101,In Favour
Traffic Calming,2021,No,65,31,96,256,Response Rate Not Met
Front Yard Parking,2021,Yes,28,2,30,49,In Favour
Front Yard Parking,2021,Yes,14,0,14,46,In Favour
Front Yard Parking,2021,Yes,26,0,26,61,In Favour
Front Yard Parking,2021,Yes,47,2,49,94,In Favour
Front Yard Parking,2021,Yes,18,1,19,75,In Favour
Front Yard Parking,2021,Yes,24,0,24,66,In Favour
Traffic Calming Safety Zone,2021,Yes,50,14,64,260,In Favour
Traffic Calming,2021,No,67,58,125,306,Response Rate Not Met
Traffic Calming,2021,No,28,1,29,116,Response Rate Not Met
Traffic Calming,2021,No,29,16,45,165,Response Rate Not Met
Traffic Calming Safety Zone,2021,Yes,29,15,44,101,In Favour
Permit Parking,2021,Yes,22,13,35,97,In Favour
Permit Parking,2021,No,35,11,46,323,Response Rate Not Met
Front Yard Parking,2021,Yes,63,1,64,97,In Favour
Front Yard Parking,2021,Yes,39,0,39,79,In Favour
Front Yard Parking,2021,Yes,34,2,36,68,In Favour
Front Yard Parking,2021,Yes,43,2,45,80,In Favour
Front Yard Parking,2021,Yes,13,2,15,43,In Favour
Permit Parking,2021,Yes,2,18,20,64,Opposed
Front Yard Parking,2021,Yes,17,0,17,45,In Favour
Permit Parking,2021,Yes,3,10,13,61,Opposed
Front Yard Parking,2021,Yes,23,5,28,88,In Favour
Front Yard Parking,2021,Yes,32,0,32,72,In Favour
Permit Parking,2021,Yes,22,16,38,76,In Favour
Permit Parking,2021,Yes,16,10,26,60,In Favour
Front Yard Parking,2021,Yes,27,12,39,80,In Favour
Front Yard Parking,2021,Yes,32,6,38,136,In Favour
Front Yard Parking,2021,Yes,25,1,26,59,In Favour
Front Yard Parking,2021,Yes,41,2,43,88,In Favour
Front Yard Parking,2021,Yes,37,0,37,45,In Favour
Traffic Calming,2021,No,29,1,30,105,Response Rate Not Met
Front Yard Parking,2021,Yes,17,0,17,27,In Favour
Front Yard Parking,2021,Yes,33,0,33,75,In Favour
Front Yard Parking,2021,Yes,15,6,21,41,In Favour
Front Yard Parking,2021,Yes,55,4,59,107,In Favour
Front Yard Parking,2021,Yes,36,0,36,76,In Favour
Front Yard Parking,2021,Yes,72,3,75,90,In Favour
Front Yard Parking,2021,Yes,10,0,10,23,In Favour
Front Yard Parking,2021,Yes,42,5,47,95,In Favour
Front Yard Parking,2021,Yes,26,4,30,129,In Favour
Front Yard Parking,2021,Yes,25,0,25,81,In Favour
Front Yard Parking,2022,No,14,2,16,81,Response Rate Not Met
Front Yard Parking,2022,Yes,34,5,39,117,In Favour
Front Yard Parking,2022,Yes,23,3,26,44,In Favour
Front Yard Parking,2022,Yes,49,0,49,92,In Favour
Front Yard Parking,2022,Yes,34,15,49,112,In Favour
Front Yard Parking,2022,Yes,37,0,37,52,In Favour
Front Yard Parking,2022,Yes,40,2,42,126,In Favour
Commercial Boulevard Parking,2022,No,2,3,5,45,Response Rate Not Met
Permit Parking,2022,Yes,0,6,6,11,Opposed
Permit Parking,2022,Yes,33,57,90,151,Opposed
Front Yard Parking,2022,Yes,32,0,32,61,In Favour
Traffic Calming,2022,Yes,41,5,46,75,In Favour
Traffic Calming,2022,Yes,17,0,17,22,In Favour
Front Yard Parking,2022,Yes,26,1,27,64,In Favour
Permit Parking,2022,No,10,5,15,66,Response Rate Not Met
Front Yard Parking,2022,Yes,77,1,78,133,In Favour
Front Yard Parking,2022,Yes,10,0,10,34,In Favour
Front Yard Parking,2022,Yes,47,15,62,111,In Favour
Permit Parking,2022,Yes,29,3,32,104,In Favour
Permit Parking,2022,Yes,20,7,27,100,In Favour
Front Yard Parking,2022,Yes,64,2,66,105,In Favour
Front Yard Parking,2022,Yes,37,1,38,82,In Favour
Front Yard Parking,2022,Yes,31,5,36,140,In Favour
Front Yard Parking,2022,Yes,30,2,32,57,In Favour
Front Yard Parking,2022,Yes,42,8,50,115,In Favour
Front Yard Parking,2022,Yes,36,0,36,71,In Favour
Front Yard Parking,2022,Yes,20,4,24,30,In Favour
Permit Parking,2022,Yes,17,16,33,72,Opposed
Front Yard Parking,2022,Yes,28,9,37,63,In Favour
Front Yard Parking,2022,Yes,41,1,42,86,In Favour
Front Yard Parking,2022,Yes,22,1,23,75,In Favour
Permit Parking,2022,Yes,26,19,45,117,In Favour
Front Yard Parking,2022,Yes,44,0,44,98,In Favour
Front Yard Parking,2022,Yes,32,11,43,89,In Favour
Front Yard Parking,2022,Yes,41,0,41,79,In Favour
Front Yard Parking,2022,Yes,66,10,76,124,In Favour
Front Yard Parking,2022,Yes,27,1,28,42,In Favour
Front Yard Parking,2022,Yes,13,0,13,21,In Favour
Front Yard Parking,2022,Yes,27,5,32,64,In Favour
Front Yard Parking,2022,Yes,29,4,33,52,In Favour
Permit Parking,2022,Yes,15,0,15,63,In Favour
Permit Parking,2022,Yes,4,34,38,86,Opposed
Front Yard Parking,2022,Yes,18,0,18,52,In Favour
Permit Parking,2022,Yes,11,9,20,72,Opposed
Front Yard Parking,2022,Yes,17,0,17,55,In Favour
Front Yard Parking,2022,Yes,15,5,20,92,In Favour
Front Yard Parking,2022,Yes,20,0,20,55,In Favour
Permit Parking,2022,Yes,5,36,41,118,Opposed
Permit Parking,2022,Yes,4,16,20,72,Opposed
Permit Parking,2022,Yes,4,24,28,52,Opposed
Traffic Calming Safety Zone,2022,Yes,39,21,60,125,In Favour
Traffic Calming,2022,Yes,70,25,95,151,In Favour
Traffic Calming,2022,Yes,7,16,23,75,Opposed
Traffic Calming,2022,No,41,8,49,156,Response Rate Not Met
Front Yard Parking,2022,Yes,58,3,61,135,In Favour
Traffic Calming,2022,Yes,36,1,37,112,In Favour
Front Yard Parking,2022,Yes,68,0,68,119,In Favour
Front Yard Parking,2022,Yes,44,13,57,89,In Favour
Front Yard Parking,2022,No,10,0,10,73,Response Rate Not Met
Front Yard Parking,2022,Yes,20,1,21,40,In Favour
Permit Parking,2022,Yes,31,107,138,408,Opposed
Traffic Calming,2022,No,29,1,30,65,Response Rate Not Met
Traffic Calming,2022,No,41,57,98,215,Response Rate Not Met
Front Yard Parking,2022,Yes,50,12,62,99,In Favour
Traffic Calming,2022,Yes,16,2,18,30,In Favour
Traffic Calming,2022,No,21,12,33,158,Response Rate Not Met
Traffic Calming,2022,No,54,2,56,198,Response Rate Not Met
Front Yard Parking,2022,Yes,27,1,28,99,In Favour
Front Yard Parking,2022,Yes,11,4,15,49,In Favour
Front Yard Parking,2022,Yes,35,6,41,94,In Favour
Front Yard Parking,2022,Yes,43,0,43,50,In Favour
Traffic Calming Safety Zone,2022,Yes,91,27,118,313,In Favour
Front Yard Parking,2022,Yes,39,4,43,76,In Favour
Permit Parking,2022,Yes,3,2,5,10,Opposed
Front Yard Parking,2022,Yes,11,4,15,26,In Favour
Front Yard Parking,2022,Yes,23,2,25,69,In Favour
Front Yard Parking,2022,Yes,7,0,7,34,In Favour
Front Yard Parking,2022,Yes,52,4,56,100,In Favour
Permit Parking,2022,Yes,15,17,32,58,Opposed
Front Yard Parking,2022,Yes,9,0,9,37,In Favour
Front Yard Parking,2022,Yes,39,0,39,73,In Favour
Front Yard Parking,2022,Yes,48,0,48,74,In Favour
Front Yard Parking,2022,Yes,38,0,38,82,In Favour
Front Yard Parking,2023,Yes,19,4,23,45,In Favour
Front Yard Parking,2023,Yes,8,1,9,19,In Favour
Traffic Calming Safety Zone,2023,Yes,86,26,112,227,In Favour
Traffic Calming,2023,No,56,38,94,242,Response Rate Not Met
Front Yard Parking,2023,Yes,11,16,27,79,Opposed
Front Yard Parking,2023,Yes,36,0,36,82,In Favour
Front Yard Parking,2023,Yes,56,1,57,87,In Favour
Front Yard Parking,2023,Yes,72,0,72,115,In Favour
Front Yard Parking,2023,Yes,27,0,27,70,In Favour
Front Yard Parking,2023,Yes,15,5,20,52,In Favour
Front Yard Parking,2023,Yes,21,0,21,39,In Favour
Front Yard Parking,2023,Yes,25,0,25,45,In Favour
Traffic Calming,2022,Yes,29,8,37,74,In Favour
Permit Parking,2023,Yes,20,8,28,73,In Favour
Front Yard Parking,2023,Yes,20,0,20,75,In Favour
Front Yard Parking,2023,Yes,23,1,24,97,In Favour
Front Yard Parking,2023,Yes,37,3,40,107,In Favour
Traffic Calming,2023,No,24,4,28,63,Response Rate Not Met
Traffic Calming,2023,No,56,15,71,225,Response Rate Not Met
Front Yard Parking,2023,Yes,8,0,8,21,In Favour
Front Yard Parking,2023,Yes,28,0,28,95,In Favour
Front Yard Parking,2023,Yes,17,6,23,32,In Favour
Front Yard Parking,2023,Yes,59,2,61,119,In Favour
Front Yard Parking,2023,Yes,30,11,41,65,In Favour
Front Yard Parking,2023,Yes,33,0,33,76,In Favour
Front Yard Parking,2023,Yes,37,27,64,161,In Favour
Front Yard Parking,2023,Yes,33,9,42,85,In Favour
Front Yard Parking,2023,Yes,29,0,29,80,In Favour
Front Yard Parking,2023,Yes,25,3,28,90,In Favour
Front Yard Parking,2023,Yes,43,3,46,98,In Favour
Front Yard Parking,2023,Yes,22,0,22,42,In Favour
Front Yard Parking,2023,Yes,19,0,19,25,In Favour
Front Yard Parking,2023,Yes,61,0,61,107,In Favour
Front Yard Parking,2023,Yes,27,6,33,94,In Favour
Front Yard Parking,2023,Yes,51,4,55,103,In Favour
Front Yard Parking,2023,Yes,30,0,30,51,In Favour
Front Yard Parking,2023,Yes,37,0,37,68,In Favour
Front Yard Parking,2023,Yes,25,2,27,110,In Favour
Traffic Calming,2023,Yes,32,4,36,68,In Favour
Traffic Calming,2023,Yes,19,21,40,70,Opposed
Traffic Calming,2023,No,66,33,99,261,Response Rate Not Met
Front Yard Parking,2023,Yes,19,9,28,64,In Favour
Front Yard Parking,2023,Yes,52,1,53,118,In Favour
Front Yard Parking,2023,Yes,26,1,27,133,In Favour
Front Yard Parking,2023,Yes,32,3,35,62,In Favour
Traffic Calming,2023,No,27,53,80,228,Response Rate Not Met
Front Yard Parking,2023,Yes,25,1,26,55,In Favour
Front Yard Parking,2023,No,4,2,6,65,Response Rate Not Met
Front Yard Parking,2023,Yes,28,9,37,107,In Favour
Permit Parking,2023,Yes,19,4,23,78,In Favour
Front Yard Parking,2023,Yes,33,1,34,88,In Favour
Front Yard Parking,2023,Yes,22,2,24,51,In Favour
Permit Parking,2023,Yes,19,13,32,153,Opposed
Front Yard Parking,2023,Yes,50,0,50,113,In Favour
Front Yard Parking,2023,Yes,29,0,29,62,In Favour
Traffic Calming,2023,Yes,53,15,68,124,In Favour
Traffic Calming,2023,No,12,9,21,102,Response Rate Not Met
Traffic Calming,2023,No,37,5,42,151,Response Rate Not Met
Front Yard Parking,2023,Yes,17,12,29,32,In Favour
Front Yard Parking,2023,Yes,77,0,77,139,In Favour
Front Yard Parking,2023,Yes,37,4,41,102,In Favour
Permit Parking,2023,Yes,50,16,66,117,In Favour
Front Yard Parking,2023,Yes,22,0,22,69,In Favour
Front Yard Parking,2023,Yes,23,6,29,88,In Favour
Front Yard Parking,2023,Yes,19,0,19,41,In Favour
Front Yard Parking,2023,Yes,16,0,16,61,In Favour
Front Yard Parking,2023,Yes,17,0,17,36,In Favour
Front Yard Parking,2023,Yes,60,2,62,118,In Favour
Front Yard Parking,2023,Yes,32,4,36,64,In Favour
Front Yard Parking,2023,Yes,19,1,20,50,In Favour
Front Yard Parking,2023,Yes,26,4,30,72,In Favour
Front Yard Parking,2023,Yes,24,10,34,119,In Favour
Front Yard Parking,2023,Yes,31,1,32,41,In Favour
Front Yard Parking,2023,Yes,34,25,59,107,Opposed
Front Yard Parking,2023,Yes,34,0,34,82,In Favour
Front Yard Parking,2023,Yes,25,0,25,61,In Favour
Front Yard Parking,2023,Yes,34,0,34,40,In Favour
Front Yard Parking,2023,Yes,10,0,10,29,In Favour
Front Yard Parking,2023,Yes,26,5,31,60,In Favour
Front Yard Parking,2023,No,26,2,28,139,Response Rate Not Met
Permit Parking,2023,No,7,6,13,58,Response Rate Not Met
Front Yard Parking,2023,Yes,27,2,29,59,In Favour
Front Yard Parking,2023,Yes,30,2,32,80,In Favour
Front Yard Parking,2023,Yes,1,28,29,63,Opposed
Front Yard Parking,2023,Yes,22,0,22,43,In Favour
Front Yard Parking,2023,Yes,20,0,20,41,In Favour
Front Yard Parking,2023,Yes,17,2,19,48,In Favour
Front Yard Parking,2023,Yes,41,0,41,87,In Favour
Front Yard Parking,2023,Yes,28,0,28,46,In Favour
Permit Parking,2023,Yes,39,41,80,167,Opposed
Permit Parking,2023,Yes,43,8,51,100,In Favour
Permit Parking,2023,Yes,23,33,56,209,Opposed
Front Yard Parking,2023,Yes,48,1,49,136,In Favour
Front Yard Parking,2023,Yes,42,0,42,72,In Favour
Traffic Calming,2023,Yes,31,1,32,70,In Favour
Traffic Calming,2023,No,7,10,17,64,Response Rate Not Met
Front Yard Parking,2023,Yes,37,2,39,51,In Favour
Front Yard Parking,2023,Yes,3,0,3,7,In Favour
Front Yard Parking,2024,Yes,64,1,65,142,In Favour
Permit Parking,2024,Yes,15,37,52,144,Opposed
Front Yard Parking,2024,Yes,37,8,45,82,In Favour
Front Yard Parking,2024,Yes,5,2,7,14,Opposed
