open_date_year,application_for,ballots_in_favour,ballots_distributed,ballots_returned,poll_result
2018,Front Yard Parking,39,71,39,In Favour
2018,Proposed Business Improvement Area,7,20,7,In Favour
2018,Appeal - Front Yard Parking,25,67,28,In Favour
2018,Front Yard Parking,14,78,31,Opposed
2018,Appeal - Front Yard Parking,23,106,46,Opposed
2018,Appeal - Front Yard Parking,13,84,43,Opposed
2018,Appeal - Front Yard Parking,37,59,37,In Favour
2018,Front Yard Parking,86,200,87,In Favour
2018,Front Yard Parking,33,183,37,In Favour
2018,Front Yard Parking,29,75,32,In Favour
2018,Front Yard Parking,28,128,28,In Favour
2018,Permit Parking,11,19,11,In Favour
2018,Front Yard Parking,28,58,28,In Favour
2018,Front Yard Parking,48,104,54,In Favour
2018,Appeal - Front Yard Parking,8,42,9,In Favour
2018,Front Yard Parking,9,43,9,In Favour
2018,Commercial Boulevard Parking,11,63,19,In Favour
2018,Traffic Calming,23,55,33,In Favour
2018,Appeal - Front Yard Parking,28,86,43,In Favour
2018,Front Yard Parking,34,103,39,In Favour
2018,Front Yard Parking,43,104,48,In Favour
2018,Traffic Calming,107,202,123,In Favour
2018,Appeal - Front Yard Parking,22,75,23,In Favour
2018,Appeal - Front Yard Parking,31,64,31,In Favour
2018,Front Yard Parking,8,16,8,In Favour
2018,Traffic Calming,72,136,86,In Favour
2018,Appeal - Front Yard Parking,32,56,32,In Favour
2018,Front Yard Parking,33,85,33,In Favour
2018,Appeal - Front Yard Parking,23,75,50,Opposed
2018,Appeal - Front Yard Parking,31,74,33,In Favour
2018,Front Yard Parking,67,131,68,In Favour
2018,Front Yard Parking,31,145,37,Opposed
2018,Traffic Calming,49,104,53,In Favour
2018,Traffic Calming,74,157,89,In Favour
2018,Boulevard Cafe,40,159,43,In Favour
2018,Front Yard Parking,31,55,31,In Favour
2018,Front Yard Parking,23,84,25,In Favour
2018,Traffic Calming,77,196,97,In Favour
2018,Front Yard Parking,16,60,27,In Favour
2018,Front Yard Parking,43,95,48,In Favour
2018,Front Yard Parking,28,64,30,In Favour
2018,Front Yard Parking,28,63,28,In Favour
2018,Traffic Calming,37,154,89,Opposed
2018,Traffic Calming,100,277,124,In Favour
2018,Permit Parking,46,94,55,In Favour
2018,Front Yard Parking,48,115,49,In Favour
2018,Front Yard Parking,35,84,38,In Favour
2018,Front Yard Parking,33,76,34,In Favour
2018,Front Yard Parking,14,90,23,Opposed
2018,Front Yard Parking,35,92,35,In Favour
2018,Front Yard Parking,38,99,43,In Favour
2018,Front Yard Parking,39,117,40,In Favour
2018,Boulevard Cafe,5,66,40,Opposed
2018,Front Yard Parking,40,112,44,In Favour
2018,Boulevard Cafe,38,125,41,In Favour
2018,Front Yard Parking,47,85,50,In Favour
2018,Traffic Calming,10,17,10,In Favour
2018,Front Yard Parking,46,117,46,In Favour
2018,Front Yard Parking,18,54,22,In Favour
2018,Appeal - Front Yard Parking,15,55,25,In Favour
2018,Traffic Calming,60,198,106,Opposed
2018,Front Yard Parking,35,86,43,In Favour
2018,Front Yard Parking,13,30,15,In Favour
2018,Traffic Calming,39,80,46,In Favour
2018,Traffic Calming,125,282,155,In Favour
2018,Boulevard Cafe,4,76,12,Opposed
2018,Boulevard Cafe,4,66,17,Opposed
2018,Front Yard Parking,19,53,35,Opposed
2018,Front Yard Parking,11,58,17,In Favour
2018,Front Yard Parking,28,100,28,In Favour
2018,Appeal - Front Yard Parking,26,67,26,In Favour
2018,Business Improvement Area,104,302,113,In Favour
2018,Front Yard Parking,40,111,41,In Favour
2018,Front Yard Parking,26,68,26,In Favour
2018,Permit Parking,44,164,67,In Favour
2018,Boulevard Cafe,13,62,15,In Favour
2018,Front Yard Parking,34,169,45,In Favour
2018,Front Yard Parking,21,42,21,In Favour
2018,Front Yard Parking,24,78,28,In Favour
2018,Permit Parking,18,54,22,In Favour
2018,Permit Parking,49,214,62,In Favour
2018,Traffic Calming,160,526,293,Opposed
2018,Traffic Calming,64,128,76,In Favour
2018,Front Yard Parking,38,121,38,In Favour
2018,Front Yard Parking,35,68,37,In Favour
2018,Boulevard Cafe,18,83,28,In Favour
2018,Boulevard Cafe,19,74,25,In Favour
2018,Commercial Boulevard Parking,2,18,8,Opposed
2018,Front Yard Parking,59,83,62,In Favour
2018,Front Yard Parking,30,59,31,In Favour
2018,Front Yard Parking,33,74,40,In Favour
2018,Front Yard Parking,22,68,29,In Favour
2018,Front Yard Parking,29,75,38,In Favour
2018,Front Yard Parking,10,16,11,In Favour
2018,Front Yard Parking,16,35,16,In Favour
2018,Front Yard Parking,31,97,39,In Favour
2018,Front Yard Parking,20,60,21,In Favour
2018,Permit Parking,8,56,24,Opposed
2018,Front Yard Parking,16,68,22,In Favour
2018,Front Yard Parking,25,90,38,In Favour
2018,Front Yard Parking,23,81,25,In Favour
2019,Boulevard Cafe,20,34,20,In Favour
2019,Front Yard Parking,30,61,30,In Favour
2019,Commercial Boulevard Parking,4,31,13,Opposed
2019,Front Yard Parking,21,49,21,In Favour
2019,Commercial Boulevard Parking,4,9,4,In Favour
2019,Permit Parking,21,80,34,In Favour
2019,Front Yard Parking,22,55,22,In Favour
2019,Front Yard Parking,41,106,41,In Favour
2019,Front Yard Parking,9,31,12,In Favour
2019,Traffic Calming,52,122,60,In Favour
2019,Front Yard Parking,42,80,42,In Favour
2019,Traffic Calming,33,44,36,In Favour
2019,Traffic Calming,14,59,31,Opposed
2019,Front Yard Parking,55,92,57,In Favour
2019,Front Yard Parking,20,36,21,In Favour
2019,Boulevard Cafe,2,69,27,Opposed
2019,Boulevard Cafe,18,152,46,Opposed
2019,Traffic Calming,197,539,265,In Favour
2019,Traffic Calming,79,202,121,In Favour
2019,Traffic Calming,61,221,111,Opposed
2019,Front Yard Parking,9,19,11,In Favour
2019,Front Yard Parking,42,74,42,In Favour
2019,Front Yard Parking,40,105,50,In Favour
2019,Front Yard Parking,16,34,16,In Favour
2019,Front Yard Parking,19,47,23,In Favour
2019,Boulevard Cafe,23,137,39,In Favour
2019,Front Yard Parking,21,56,21,In Favour
2019,Front Yard Parking,45,79,49,In Favour
2019,Front Yard Parking,28,63,31,In Favour
2019,Boulevard Cafe,16,46,17,In Favour
2019,Boulevard Cafe,7,92,45,Opposed
2019,Front Yard Parking,14,40,16,In Favour
2019,Front Yard Parking,27,52,33,In Favour
2019,Permit Parking,29,134,63,Opposed
2019,Boulevard Cafe,31,96,32,In Favour
2019,Boulevard Cafe,30,128,44,In Favour
2019,Front Yard Parking,41,101,47,In Favour
2019,Front Yard Parking,34,131,36,In Favour
2019,Front Yard Parking,30,62,35,In Favour
2019,Front Yard Parking,23,113,24,In Favour
2019,Business Improvement Area,16,56,17,In Favour
2019,Front Yard Parking,55,140,57,In Favour
2019,Front Yard Parking,25,68,30,In Favour
2019,Front Yard Parking,14,41,19,In Favour
2019,Boulevard Cafe,25,159,30,In Favour
2019,Traffic Calming,40,95,52,In Favour
2019,Traffic Calming,73,187,109,In Favour
2019,Traffic Calming,112,211,147,In Favour
2019,Front Yard Parking,48,155,53,In Favour
2019,Permit Parking,17,137,59,Opposed
2019,Boulevard Cafe,31,113,43,In Favour
2019,Boulevard Cafe,15,67,18,In Favour
2019,Front Yard Parking,55,136,66,In Favour
2019,Front Yard Parking,50,145,61,In Favour
2019,Front Yard Parking,25,63,28,In Favour
2019,Front Yard Parking,17,35,27,In Favour
2019,Front Yard Parking,31,60,31,In Favour
2019,Front Yard Parking,38,94,38,In Favour
2019,Front Yard Parking,30,102,43,In Favour
2019,Traffic Calming,60,167,73,In Favour
2019,Commercial Boulevard Parking,14,46,18,In Favour
2019,Permit Parking,27,78,38,In Favour
2019,Boulevard Cafe,21,70,23,In Favour
2019,Front Yard Parking,11,20,12,In Favour
2019,Front Yard Parking,15,30,15,In Favour
2019,Boulevard Cafe,14,67,32,Opposed
2019,Boulevard Cafe,2,61,19,Opposed
2019,Permit Parking,7,48,11,In Favour
2019,Front Yard Parking,40,84,40,In Favour
2019,Permit Parking,7,22,7,In Favour
2019,Permit Parking,30,100,35,In Favour
2019,Permit Parking,0,2,0,Opposed
2019,Permit Parking,30,150,46,In Favour
2019,Permit Parking,13,45,21,In Favour
2019,Permit Parking,11,46,12,In Favour
2019,Permit Parking,17,59,27,In Favour
2019,Boulevard Cafe,24,47,26,In Favour
2019,Boulevard Cafe,8,126,29,Opposed
2019,Permit Parking,11,177,74,Opposed
2019,Front Yard Parking,36,127,36,In Favour
2019,Permit Parking,18,68,31,In Favour
2019,Boulevard Cafe,7,27,18,Opposed
2019,Front Yard Parking,43,95,43,In Favour
2019,Traffic Calming,64,138,78,In Favour
2019,Front Yard Parking,54,99,57,In Favour
2019,Boulevard Cafe,8,95,22,Opposed
2019,Traffic Calming,12,86,34,Opposed
2019,Traffic Calming,58,188,93,Opposed
2019,Traffic Calming,22,76,48,Opposed
2019,Traffic Calming,32,72,37,In Favour
2019,Traffic Calming,42,148,80,Opposed
2019,Front Yard Parking,13,35,13,In Favour
2019,Front Yard Parking,53,127,55,In Favour
2019,Front Yard Parking,33,62,33,In Favour
2019,Boulevard Cafe,13,60,14,In Favour
2019,Traffic Calming,51,115,56,In Favour
2019,Traffic Calming,54,132,68,In Favour
2019,Front Yard Parking,68,133,68,In Favour
2019,Front Yard Parking,18,57,25,In Favour
2019,Permit Parking,1,26,11,Opposed
2019,Permit Parking,37,96,49,In Favour
2019,Front Yard Parking,34,106,40,In Favour
2019,Front Yard Parking,25,97,44,In Favour
2019,Permit Parking,24,127,43,In Favour
2020,Appeal - Front Yard Parking,19,51,23,In Favour
2019,Permit Parking,43,150,87,Opposed
2020,Front Yard Parking,40,78,44,In Favour
2020,Front Yard Parking,41,77,42,In Favour
2020,Front Yard Parking,14,85,15,In Favour
2020,Front Yard Parking,7,23,16,Opposed
2020,Front Yard Parking,7,23,16,Opposed
2020,Business Improvement Area,75,175,82,In Favour
2020,Traffic Calming,33,80,39,In Favour
2020,Front Yard Parking,32,56,33,In Favour
2020,Front Yard Parking,49,106,51,In Favour
2020,Permit Parking,42,141,74,In Favour
2020,Traffic Calming Safety Zone,12,43,17,In Favour
2020,Permit Parking,0,36,13,Opposed
2020,Front Yard Parking,40,107,45,In Favour
2020,Permit Parking,21,130,30,In Favour
2020,Traffic Calming Safety Zone,80,376,113,In Favour
2020,Traffic Calming,32,72,38,In Favour
2020,Front Yard Parking,35,113,39,In Favour
2020,Front Yard Parking,29,96,33,In Favour
2020,Front Yard Parking,27,41,35,In Favour
2020,Front Yard Parking,33,99,34,In Favour
2020,Permit Parking,2,52,18,Opposed
2020,Permit Parking,32,114,63,Opposed
2020,Front Yard Parking,25,91,36,In Favour
2020,Front Yard Parking,27,104,39,In Favour
2020,Front Yard Parking,7,30,7,In Favour
2020,Permit Parking Removal,14,166,47,Opposed
2020,Permit Parking Removal,10,72,22,Opposed
2020,Permit Parking Removal,11,65,38,Opposed
2020,Permit Parking Removal,14,63,21,In Favour
2020,Permit Parking Removal,7,41,22,Opposed
2020,Front Yard Parking,41,97,51,In Favour
2020,Permit Parking Removal,165,539,205,In Favour
2021,Permit Parking Removal,12,72,13,In Favour
2021,Permit Parking Removal,7,31,8,In Favour
2021,Permit Parking Removal,65,216,87,In Favour
2020,Permit Parking Removal,8,53,14,Opposed
2020,Permit Parking Removal,10,48,15,In Favour
2020,Permit Parking Removal,42,192,75,Opposed
2020,Permit Parking Removal,20,105,42,Opposed
2020,Permit Parking Removal,20,83,36,Opposed
2021,Permit Parking Removal,16,70,22,In Favour
2021,Permit Parking Removal,32,71,40,In Favour
2021,Permit Parking Removal,5,32,14,Opposed
2021,Permit Parking Removal,6,26,17,Opposed
2021,Permit Parking Removal,57,187,84,In Favour
2021,Permit Parking Removal,15,61,21,In Favour
2021,Permit Parking Removal,57,192,77,In Favour
2021,Permit Parking Removal,2,5,3,Opposed
2021,Permit Parking Removal,55,192,78,In Favour
2020,Front Yard Parking,58,106,64,In Favour
2020,Front Yard Parking,42,77,44,In Favour
2020,Front Yard Parking,27,106,52,Opposed
2020,Traffic Calming,28,44,30,In Favour
2020,Traffic Calming,95,186,118,In Favour
2020,Front Yard Parking,53,104,53,In Favour
2020,Front Yard Parking,28,91,31,In Favour
2020,Permit Parking Removal,24,170,92,Opposed
2020,Permit Parking Removal,10,75,45,Opposed
2020,Permit Parking Removal,8,65,42,Opposed
2020,Permit Parking Removal,9,106,63,Opposed
2020,Permit Parking Removal,1,42,17,Opposed
2020,Permit Parking,5,15,8,In Favour
2020,Permit Parking,13,32,13,In Favour
2020,Front Yard Parking,64,103,64,In Favour
2020,Front Yard Parking,50,129,55,In Favour
2020,Traffic Calming,29,99,41,Opposed
2020,Traffic Calming Safety Zone,135,645,177,In Favour
2020,Permit Parking,25,113,34,In Favour
2020,Front Yard Parking,35,62,35,In Favour
2020,Permit Parking,8,45,30,Opposed
2020,Front Yard Parking,63,104,64,In Favour
2020,Permit Parking,19,73,31,In Favour
2020,Front Yard Parking,30,50,30,In Favour
2020,Front Yard Parking,60,88,62,In Favour
2021,Permit Parking,1,11,3,Opposed
2021,Front Yard Parking,45,96,55,In Favour
2021,Front Yard Parking,20,72,21,In Favour
2021,Front Yard Parking,37,98,42,In Favour
2021,Front Yard Parking,45,193,48,In Favour
2021,Permit Parking,61,301,98,In Favour
2021,Traffic Calming – Island,22,58,31,In Favour
2021,Front Yard Parking,30,88,30,In Favour
2021,Permit Parking Removal,18,70,27,In Favour
2021,Permit Parking,0,33,4,Opposed
2021,Commercial Boulevard Parking,6,50,16,Opposed
2021,Front Yard Parking,38,109,43,In Favour
2021,Front Yard Parking,21,46,22,In Favour
2021,Front Yard Parking,42,97,53,In Favour
2021,Front Yard Parking,23,49,29,In Favour
2021,Permit Parking,80,400,119,In Favour
2021,Front Yard Parking,33,88,39,In Favour
2021,Front Yard Parking,32,57,32,In Favour
2021,Front Yard Parking,30,102,43,In Favour
2021,Front Yard Parking,54,103,58,In Favour
2021,Front Yard Parking,18,105,22,In Favour
2021,Permit Parking,25,195,70,Opposed
2021,Front Yard Parking,63,155,65,In Favour
2021,Traffic Calming,110,240,118,In Favour
2021,Front Yard Parking,54,110,56,In Favour
2021,Front Yard Parking,35,70,39,In Favour
2021,Permit Parking,13,94,31,Opposed
2021,Commercial Boulevard Parking,2,37,14,Opposed
2021,Front Yard Parking,32,91,32,In Favour
2021,Front Yard Parking,31,76,32,In Favour
2021,Front Yard Parking,17,18,17,In Favour
2021,Front Yard Parking,8,10,8,In Favour
2021,Permit Parking Removal,20,81,62,Opposed
2021,Front Yard Parking,36,75,39,In Favour
2021,Front Yard Parking,37,101,37,In Favour
2021,Front Yard Parking,7,31,7,In Favour
2021,Front Yard Parking,35,113,35,In Favour
2021,Front Yard Parking,52,108,59,In Favour
2021,Front Yard Parking,54,114,58,In Favour
2021,Front Yard Parking,71,110,71,In Favour
2021,Permit Parking,40,120,43,In Favour
2021,Front Yard Parking,9,20,9,In Favour
2021,Front Yard Parking,33,68,33,In Favour
2021,Front Yard Parking,22,99,22,In Favour
2021,Front Yard Parking,14,35,14,In Favour
2021,Front Yard Parking,41,92,43,In Favour
2021,Front Yard Parking,22,134,31,In Favour
2021,Front Yard Parking,50,101,54,In Favour
2021,Front Yard Parking,28,49,30,In Favour
2021,Front Yard Parking,14,46,14,In Favour
2021,Front Yard Parking,26,61,26,In Favour
2021,Front Yard Parking,47,94,49,In Favour
2021,Front Yard Parking,18,75,19,In Favour
2021,Front Yard Parking,24,66,24,In Favour
2021,Traffic Calming Safety Zone,50,260,64,In Favour
2021,Traffic Calming Safety Zone,29,101,44,In Favour
2021,Permit Parking,22,97,35,In Favour
2021,Front Yard Parking,63,97,64,In Favour
2021,Front Yard Parking,39,79,39,In Favour
2021,Front Yard Parking,34,68,36,In Favour
2021,Front Yard Parking,43,80,45,In Favour
2021,Front Yard Parking,13,43,15,In Favour
2021,Permit Parking,2,64,20,Opposed
2021,Front Yard Parking,17,45,17,In Favour
2021,Permit Parking,3,61,13,Opposed
2021,Front Yard Parking,23,88,28,In Favour
2021,Front Yard Parking,32,72,32,In Favour
2021,Permit Parking,22,76,38,In Favour
2021,Permit Parking,16,60,26,In Favour
2021,Front Yard Parking,27,80,39,In Favour
2021,Front Yard Parking,32,136,38,In Favour
2021,Front Yard Parking,25,59,26,In Favour
2021,Front Yard Parking,41,88,43,In Favour
2021,Front Yard Parking,37,45,37,In Favour
2021,Front Yard Parking,17,27,17,In Favour
2021,Front Yard Parking,33,75,33,In Favour
2021,Front Yard Parking,15,41,21,In Favour
2021,Front Yard Parking,55,107,59,In Favour
2021,Front Yard Parking,36,76,36,In Favour
2021,Front Yard Parking,72,90,75,In Favour
2021,Front Yard Parking,10,23,10,In Favour
2021,Front Yard Parking,42,95,47,In Favour
2021,Front Yard Parking,26,129,30,In Favour
2021,Front Yard Parking,25,81,25,In Favour
2022,Front Yard Parking,34,117,39,In Favour
2022,Front Yard Parking,23,44,26,In Favour
2022,Front Yard Parking,49,92,49,In Favour
2022,Front Yard Parking,34,112,49,In Favour
2022,Front Yard Parking,37,52,37,In Favour
2022,Front Yard Parking,40,126,42,In Favour
2022,Permit Parking,0,11,6,Opposed
2022,Permit Parking,33,151,90,Opposed
2022,Front Yard Parking,32,61,32,In Favour
2022,Traffic Calming,41,75,46,In Favour
2022,Traffic Calming,17,22,17,In Favour
2022,Front Yard Parking,26,64,27,In Favour
2022,Front Yard Parking,77,133,78,In Favour
2022,Front Yard Parking,10,34,10,In Favour
2022,Front Yard Parking,47,111,62,In Favour
2022,Permit Parking,29,104,32,In Favour
2022,Permit Parking,20,100,27,In Favour
2022,Front Yard Parking,64,105,66,In Favour
2022,Front Yard Parking,37,82,38,In Favour
2022,Front Yard Parking,31,140,36,In Favour
2022,Front Yard Parking,30,57,32,In Favour
2022,Front Yard Parking,42,115,50,In Favour
2022,Front Yard Parking,36,71,36,In Favour
2022,Front Yard Parking,20,30,24,In Favour
2022,Permit Parking,17,72,33,Opposed
2022,Front Yard Parking,28,63,37,In Favour
2022,Front Yard Parking,41,86,42,In Favour
2022,Front Yard Parking,22,75,23,In Favour
2022,Permit Parking,26,117,45,In Favour
2022,Front Yard Parking,44,98,44,In Favour
2022,Front Yard Parking,32,89,43,In Favour
2022,Front Yard Parking,41,79,41,In Favour
2022,Front Yard Parking,66,124,76,In Favour
2022,Front Yard Parking,27,42,28,In Favour
2022,Front Yard Parking,13,21,13,In Favour
2022,Front Yard Parking,27,64,32,In Favour
2022,Front Yard Parking,29,52,33,In Favour
2022,Permit Parking,15,63,15,In Favour
2022,Permit Parking,4,86,38,Opposed
2022,Front Yard Parking,18,52,18,In Favour
2022,Permit Parking,11,72,20,Opposed
2022,Front Yard Parking,17,55,17,In Favour
2022,Front Yard Parking,15,92,20,In Favour
2022,Front Yard Parking,20,55,20,In Favour
2022,Permit Parking,5,118,41,Opposed
2022,Permit Parking,4,72,20,Opposed
2022,Permit Parking,4,52,28,Opposed
2022,Traffic Calming Safety Zone,39,125,60,In Favour
2022,Traffic Calming,70,151,95,In Favour
2022,Traffic Calming,7,75,23,Opposed
2022,Front Yard Parking,58,135,61,In Favour
2022,Traffic Calming,36,112,37,In Favour
2022,Front Yard Parking,68,119,68,In Favour
2022,Front Yard Parking,44,89,57,In Favour
2022,Front Yard Parking,20,40,21,In Favour
2022,Permit Parking,31,408,138,Opposed
2022,Front Yard Parking,50,99,62,In Favour
2022,Traffic Calming,16,30,18,In Favour
2022,Front Yard Parking,27,99,28,In Favour
2022,Front Yard Parking,11,49,15,In Favour
2022,Front Yard Parking,35,94,41,In Favour
2022,Front Yard Parking,43,50,43,In Favour
2022,Traffic Calming Safety Zone,91,313,118,In Favour
2022,Front Yard Parking,39,76,43,In Favour
2022,Permit Parking,3,10,5,Opposed
2022,Front Yard Parking,11,26,15,In Favour
2022,Front Yard Parking,23,69,25,In Favour
2022,Front Yard Parking,7,34,7,In Favour
2022,Front Yard Parking,52,100,56,In Favour
2022,Permit Parking,15,58,32,Opposed
2022,Front Yard Parking,9,37,9,In Favour
2022,Front Yard Parking,39,73,39,In Favour
2022,Front Yard Parking,48,74,48,In Favour
2022,Front Yard Parking,38,82,38,In Favour
2023,Front Yard Parking,19,45,23,In Favour
2023,Front Yard Parking,8,19,9,In Favour
2023,Traffic Calming Safety Zone,86,227,112,In Favour
2023,Front Yard Parking,11,79,27,Opposed
2023,Front Yard Parking,36,82,36,In Favour
2023,Front Yard Parking,56,87,57,In Favour
2023,Front Yard Parking,72,115,72,In Favour
2023,Front Yard Parking,27,70,27,In Favour
2023,Front Yard Parking,15,52,20,In Favour
2023,Front Yard Parking,21,39,21,In Favour
2023,Front Yard Parking,25,45,25,In Favour
2022,Traffic Calming,29,74,37,In Favour
2023,Permit Parking,20,73,28,In Favour
2023,Front Yard Parking,20,75,20,In Favour
2023,Front Yard Parking,23,97,24,In Favour
2023,Front Yard Parking,37,107,40,In Favour
2023,Front Yard Parking,8,21,8,In Favour
2023,Front Yard Parking,28,95,28,In Favour
2023,Front Yard Parking,17,32,23,In Favour
2023,Front Yard Parking,59,119,61,In Favour
2023,Front Yard Parking,30,65,41,In Favour
2023,Front Yard Parking,33,76,33,In Favour
2023,Front Yard Parking,37,161,64,In Favour
2023,Front Yard Parking,33,85,42,In Favour
2023,Front Yard Parking,29,80,29,In Favour
2023,Front Yard Parking,25,90,28,In Favour
2023,Front Yard Parking,43,98,46,In Favour
2023,Front Yard Parking,22,42,22,In Favour
2023,Front Yard Parking,19,25,19,In Favour
2023,Front Yard Parking,61,107,61,In Favour
2023,Front Yard Parking,27,94,33,In Favour
2023,Front Yard Parking,51,103,55,In Favour
2023,Front Yard Parking,30,51,30,In Favour
2023,Front Yard Parking,37,68,37,In Favour
2023,Front Yard Parking,25,110,27,In Favour
2023,Traffic Calming,32,68,36,In Favour
2023,Traffic Calming,19,70,40,Opposed
2023,Front Yard Parking,19,64,28,In Favour
2023,Front Yard Parking,52,118,53,In Favour
2023,Front Yard Parking,26,133,27,In Favour
2023,Front Yard Parking,32,62,35,In Favour
2023,Front Yard Parking,25,55,26,In Favour
2023,Front Yard Parking,28,107,37,In Favour
2023,Permit Parking,19,78,23,In Favour
2023,Front Yard Parking,33,88,34,In Favour
2023,Front Yard Parking,22,51,24,In Favour
2023,Permit Parking,19,153,32,Opposed
2023,Front Yard Parking,50,113,50,In Favour
2023,Front Yard Parking,29,62,29,In Favour
2023,Traffic Calming,53,124,68,In Favour
2023,Front Yard Parking,17,32,29,In Favour
2023,Front Yard Parking,77,139,77,In Favour
2023,Front Yard Parking,37,102,41,In Favour
2023,Permit Parking,50,117,66,In Favour
2023,Front Yard Parking,22,69,22,In Favour
2023,Front Yard Parking,23,88,29,In Favour
2023,Front Yard Parking,19,41,19,In Favour
2023,Front Yard Parking,16,61,16,In Favour
2023,Front Yard Parking,17,36,17,In Favour
2023,Front Yard Parking,60,118,62,In Favour
2023,Front Yard Parking,32,64,36,In Favour
2023,Front Yard Parking,19,50,20,In Favour
2023,Front Yard Parking,26,72,30,In Favour
2023,Front Yard Parking,24,119,34,In Favour
2023,Front Yard Parking,31,41,32,In Favour
2023,Front Yard Parking,34,107,59,Opposed
2023,Front Yard Parking,34,82,34,In Favour
2023,Front Yard Parking,25,61,25,In Favour
2023,Front Yard Parking,34,40,34,In Favour
2023,Front Yard Parking,10,29,10,In Favour
2023,Front Yard Parking,26,60,31,In Favour
2023,Front Yard Parking,27,59,29,In Favour
2023,Front Yard Parking,30,80,32,In Favour
2023,Front Yard Parking,1,63,29,Opposed
2023,Front Yard Parking,22,43,22,In Favour
2023,Front Yard Parking,20,41,20,In Favour
2023,Front Yard Parking,17,48,19,In Favour
2023,Front Yard Parking,41,87,41,In Favour
2023,Front Yard Parking,28,46,28,In Favour
2023,Permit Parking,39,167,80,Opposed
2023,Permit Parking,43,100,51,In Favour
2023,Permit Parking,23,209,56,Opposed
2023,Front Yard Parking,48,136,49,In Favour
2023,Front Yard Parking,42,72,42,In Favour
2023,Traffic Calming,31,70,32,In Favour
2023,Front Yard Parking,37,51,39,In Favour
2023,Front Yard Parking,3,7,3,In Favour
2024,Front Yard Parking,64,142,65,In Favour
2024,Permit Parking,15,144,52,Opposed
2024,Front Yard Parking,37,82,45,In Favour
2024,Front Yard Parking,5,14,7,Opposed
